38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2024,2024,2024
ACEH,26.55,9.47,15.49
SUMATERA UTARA,20.6,8.43,15.35
SUMATERA BARAT,28.84,11.83,20.48
RIAU,27.82,11.5,17.98
JAMBI,30.31,11.41,17.6
SUMATERA SELATAN,24.49,9.46,14.93
BENGKULU,35.23,12.14,19.79
LAMPUNG,19.74,6.55,10.89
KEP. BANGKA BELITUNG,24.55,11.72,19.29
KEP. RIAU,32.63,10.01,30.36
DKI JAKARTA,39.33,-,39.33
JAWA BARAT,21.95,6.11,18.6
JAWA TENGAH,20.23,8.88,14.82
DI YOGYAKARTA,37.6,11.9,31.55
JAWA TIMUR,23.04,8.75,16.7
BANTEN,24.97,4.05,20.89
BALI,32.49,10.92,26.63
NUSA TENGGARA BARAT,15.26,7.9,11.73
NUSA TENGGARA TIMUR,28.77,8.08,13.7
KALIMANTAN BARAT,28.73,9.02,16.51
KALIMANTAN TENGAH,30.6,10.81,19.43
KALIMANTAN SELATAN,26.43,10.68,18.51
KALIMANTAN TIMUR,36.31,17.73,30.52
KALIMANTAN UTARA,29.59,16.71,25.05
SULAWESI UTARA,23.59,10.38,17.77
SULAWESI TENGAH,29.76,9.52,16.28
SULAWESI SELATAN,31.61,13.71,22.13
SULAWESI TENGGARA,31.14,12.35,19.77
GORONTALO,26.43,9.21,17.23
SULAWESI BARAT,28.37,10.48,13.98
MALUKU,28.36,9.06,17.73
MALUKU UTARA,34.88,9.23,17.02
PAPUA BARAT,34.26,11.53,18.35
PAPUA BARAT DAYA,27.6,10.68,19.63
PAPUA,35.64,7.84,24.59
PAPUA SELATAN,36.04,6.34,17
PAPUA TENGAH,30.12,1.49,7.88
PAPUA PEGUNUNGAN,17.27,1.13,2.31
INDONESIA,25.23,8.98,18.52
