38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2016,2016,2016
ACEH,34.91,10.45,17.48
SUMATERA UTARA,23.22,6.71,14.97
SUMATERA BARAT,35.21,11.21,21
RIAU,36.45,12.06,21.51
JAMBI,32.73,11.5,17.81
SUMATERA SELATAN,29.77,7.35,15.1
BENGKULU,40.49,10.03,19.48
LAMPUNG,25.35,6.82,11.48
KEP. BANGKA BELITUNG,28.72,12.87,20.82
KEP. RIAU,32.42,17.52,30.19
DKI JAKARTA,35.66,0,35.66
JAWA BARAT,23.09,7.21,17.93
JAWA TENGAH,22.94,9.28,15.57
DI YOGYAKARTA,41.91,15.96,34.18
JAWA TIMUR,27.57,9.39,18.19
BANTEN,30.04,5.47,22.53
BALI,35.93,17.12,29.15
NUSA TENGGARA BARAT,21.03,7.76,13.46
NUSA TENGGARA TIMUR,34.33,6.32,12.03
KALIMANTAN BARAT,35.03,7.96,16.2
KALIMANTAN TENGAH,41.16,11.48,21.84
KALIMANTAN SELATAN,34.7,12.23,21.93
KALIMANTAN TIMUR,44.11,17.76,34.67
KALIMANTAN UTARA,39.65,21,31.76
SULAWESI UTARA,31,13.47,21.67
SULAWESI TENGAH,37.94,9.63,16.8
SULAWESI SELATAN,39.78,13.69,23.36
SULAWESI TENGGARA,46.41,12.43,22.71
GORONTALO,31.54,9.65,17.63
SULAWESI BARAT,33.49,11.84,16.04
MALUKU,32.96,8.99,18.99
MALUKU UTARA,38.1,9.24,17.27
PAPUA BARAT,32.03,14.06,21.01
PAPUA BARAT DAYA,-,-,-
PAPUA,36.17,3.68,11.6
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,28.55,9.24,19.14
