38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2018,2018,2018
ACEH,36.68,11.77,19.55
SUMATERA UTARA,23.8,8.66,16.61
SUMATERA BARAT,34.48,13.25,22.62
RIAU,35.39,14.24,22.78
JAMBI,32.36,11.83,18.25
SUMATERA SELATAN,28.3,8.6,15.66
BENGKULU,39.05,10.97,19.98
LAMPUNG,25.15,7.74,12.6
KEP. BANGKA BELITUNG,28.5,14.45,21.95
KEP. RIAU,34.38,13.24,31.44
DKI JAKARTA,32.24,-,32.24
JAWA BARAT,24.96,6.57,19.92
JAWA TENGAH,24.73,10.26,17.59
DI YOGYAKARTA,42.8,13.2,34.99
JAWA TIMUR,26.59,9.86,18.57
BANTEN,28.63,5.6,22.08
BALI,33.54,12.51,26.61
NUSA TENGGARA BARAT,20.21,8.09,13.68
NUSA TENGGARA TIMUR,35.29,6.84,13.57
KALIMANTAN BARAT,33.14,8.7,16.73
KALIMANTAN TENGAH,39.26,14.41,23.78
KALIMANTAN SELATAN,34.85,12.48,22.86
KALIMANTAN TIMUR,40.65,18.14,33.19
KALIMANTAN UTARA,35.04,25.3,31.09
SULAWESI UTARA,31.61,12.33,22.01
SULAWESI TENGAH,35.95,10.63,17.81
SULAWESI SELATAN,36.36,14.53,23.34
SULAWESI TENGGARA,34.27,11.26,20.03
GORONTALO,28.74,12.09,18.64
SULAWESI BARAT,30.15,13.36,17.27
MALUKU,37.07,8.75,20.98
MALUKU UTARA,43.11,11.86,21.15
PAPUA BARAT,34.29,21.02,26.33
PAPUA BARAT DAYA,-,-,-
PAPUA,33.99,5.57,12.87
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,28.43,9.93,20.05
