38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2023,2023,2023
ACEH,25.06,9.58,15.1
SUMATERA UTARA,20.12,9.19,15.39
SUMATERA BARAT,28.48,10.99,19.75
RIAU,27.63,12.62,18.65
JAMBI,28.26,12.36,17.75
SUMATERA SELATAN,26.58,7.82,14.78
BENGKULU,32.31,10.32,17.83
LAMPUNG,19.96,6,10.63
KEP. BANGKA BELITUNG,23.55,13.83,19.64
KEP. RIAU,34.29,9.1,31.46
DKI JAKARTA,39.15,9.1,39.15
JAWA BARAT,22.32,6.49,18.85
JAWA TENGAH,19.1,8.41,14.05
DI YOGYAKARTA,36.65,12.13,30.56
JAWA TIMUR,22.1,8.4,16.05
BANTEN,25.7,3,20.71
BALI,30.93,9.49,24.34
NUSA TENGGARA BARAT,14.79,7.07,11.09
NUSA TENGGARA TIMUR,28.84,7.73,13.65
KALIMANTAN BARAT,26.23,8.38,15.11
KALIMANTAN TENGAH,30.25,10.51,19.12
KALIMANTAN SELATAN,26.75,11.57,19.12
KALIMANTAN TIMUR,35.13,17.14,29.59
KALIMANTAN UTARA,33.09,16.67,27.22
SULAWESI UTARA,22.68,10.35,17.23
SULAWESI TENGAH,28.81,9.17,15.67
SULAWESI SELATAN,29.28,12.99,20.51
SULAWESI TENGGARA,30.48,12.54,19.4
GORONTALO,27.29,9.88,17.89
SULAWESI BARAT,24.93,9.38,12.62
MALUKU,30.42,8.35,17.58
MALUKU UTARA,30.48,9.67,15.92
PAPUA BARAT,30.41,10.52,18.7
PAPUA BARAT DAYA,30.41,10.52,18.7
PAPUA,27.93,2.33,9.79
PAPUA SELATAN,27.93,2.33,9.79
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,24.76,8.68,18.06
