38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2020,2020,2020
ACEH,31.12,10.7,17.31
SUMATERA UTARA,21.41,8.55,15.49
SUMATERA BARAT,31.37,11.2,20.62
RIAU,33.41,11.95,20.52
JAMBI,29.06,11.93,17.25
SUMATERA SELATAN,27.15,8.28,14.97
BENGKULU,39.66,10.69,20.26
LAMPUNG,22.16,7.42,11.71
KEP. BANGKA BELITUNG,24.11,13.65,19.4
KEP. RIAU,28.6,13.48,27.09
DKI JAKARTA,34.19,6.56,34.19
JAWA BARAT,22.21,6.56,18.33
JAWA TENGAH,21.64,10.24,16.02
DI YOGYAKARTA,41.96,14.43,35.05
JAWA TIMUR,24.94,10.08,17.99
BANTEN,24.75,5.74,19.47
BALI,31.79,12.07,25.82
NUSA TENGGARA BARAT,17.92,7.41,12.43
NUSA TENGGARA TIMUR,33.57,7.47,13.94
KALIMANTAN BARAT,32.78,8.19,16.67
KALIMANTAN TENGAH,33.66,11.46,20.42
KALIMANTAN SELATAN,29.43,11.4,19.84
KALIMANTAN TIMUR,35.11,14.56,28.43
KALIMANTAN UTARA,30.57,20.64,26.66
SULAWESI UTARA,25.73,12.2,19.38
SULAWESI TENGAH,34.58,10.23,17.34
SULAWESI SELATAN,33.28,13.62,21.93
SULAWESI TENGGARA,34.55,12.72,21.2
GORONTALO,26.57,10.66,17.51
SULAWESI BARAT,24.56,11.01,14.11
MALUKU,36.39,7.98,21.02
MALUKU UTARA,38.11,9.96,18.51
PAPUA BARAT,31.01,18.39,23.56
PAPUA BARAT DAYA,-,-,-
PAPUA,28.25,4.69,11.03
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,26.09,9.58,18.83
