38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2015,2015,2015
ACEH,34.72,9.85,16.81
SUMATERA UTARA,22.01,6.78,14.22
SUMATERA BARAT,37.55,11.69,21.9
RIAU,35.98,12,21.33
JAMBI,34.27,11.41,18.02
SUMATERA SELATAN,28.75,7.09,14.48
BENGKULU,44.34,9.91,20.23
LAMPUNG,27.21,6.67,11.68
KEP. BANGKA BELITUNG,26.69,10.36,18.26
KEP. RIAU,31.33,14.01,28.54
DKI JAKARTA,36.95,0,36.95
JAWA BARAT,23.3,5.9,17.33
JAWA TENGAH,23.06,8.83,15.27
DI YOGYAKARTA,45.47,11.61,34.73
JAWA TIMUR,26.99,9.14,17.59
BANTEN,30.04,5.69,22.36
BALI,36.35,13.89,27.79
NUSA TENGGARA BARAT,19.97,7.32,12.58
NUSA TENGGARA TIMUR,34.17,5.68,11.52
KALIMANTAN BARAT,34.25,7.8,15.6
KALIMANTAN TENGAH,35.71,11.47,19.64
KALIMANTAN SELATAN,35.04,11.73,21.66
KALIMANTAN TIMUR,42.48,18.31,33.46
KALIMANTAN UTARA,37.29,21.13,29.99
SULAWESI UTARA,32.19,12.96,21.81
SULAWESI TENGAH,40.25,9.49,16.88
SULAWESI SELATAN,40.89,13.12,23.2
SULAWESI TENGGARA,41.46,10.79,19.63
GORONTALO,29.89,9.74,16.71
SULAWESI BARAT,30.99,10.88,14.68
MALUKU,37.31,8.06,19.72
MALUKU UTARA,37.12,9.61,17.16
PAPUA BARAT,35.37,13.7,21.66
PAPUA BARAT DAYA,-,-,-
PAPUA,34.35,4.03,11.49
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,28.61,8.74,18.71
