38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2022,2022,2022
ACEH,24.01,8.38,13.7
SUMATERA UTARA,20.95,8.24,15.41
SUMATERA BARAT,28.22,12.2,20.14
RIAU,26.71,13.16,18.58
JAMBI,27.58,10.89,16.24
SUMATERA SELATAN,26.68,7.55,14.42
BENGKULU,34.67,9.79,17.9
LAMPUNG,20.13,6.37,10.7
KEP. BANGKA BELITUNG,22.58,11.71,17.89
KEP. RIAU,29.33,11.81,27.47
DKI JAKARTA,36.83,0,36.83
JAWA BARAT,22.41,5.95,18.7
JAWA TENGAH,20.25,9.1,14.92
DI YOGYAKARTA,36.25,14.9,31.15
JAWA TIMUR,22.57,8.79,16.42
BANTEN,24.95,3.87,19.75
BALI,33.65,13.6,27.72
NUSA TENGGARA BARAT,15.4,6.77,11.06
NUSA TENGGARA TIMUR,32.7,7.1,13.92
KALIMANTAN BARAT,28.02,7.49,14.92
KALIMANTAN TENGAH,27.82,8.92,16.7
KALIMANTAN SELATAN,26.52,10.16,18.19
KALIMANTAN TIMUR,35.44,14.01,28.91
KALIMANTAN UTARA,35.12,16.15,28.17
SULAWESI UTARA,22.38,10.61,17.12
SULAWESI TENGAH,27.25,8.23,14.32
SULAWESI SELATAN,28.88,13.43,20.61
SULAWESI TENGGARA,30.03,10.85,17.84
GORONTALO,23.82,7.91,14.98
SULAWESI BARAT,29.02,9.85,13.61
MALUKU,29.48,9.02,18.17
MALUKU UTARA,26.88,8.09,13.58
PAPUA BARAT,30.89,12.19,20.04
PAPUA BARAT DAYA,-,-,-
PAPUA,28.66,2.42,9.36
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,24.89,8.65,18.04
