38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2017,2017,2017
ACEH,35.49,11.29,18.5
SUMATERA UTARA,21.03,7.31,14.28
SUMATERA BARAT,34.07,10.6,20.35
RIAU,33.53,13.03,21.08
JAMBI,33,11.59,18.07
SUMATERA SELATAN,32.11,8.34,16.62
BENGKULU,39.31,9.63,19.21
LAMPUNG,26.03,7.43,12.24
KEP. BANGKA BELITUNG,28.99,12.11,20.95
KEP. RIAU,30.32,14.21,27.95
DKI JAKARTA,35.4,-,35.4
JAWA BARAT,23.6,6.7,18.62
JAWA TENGAH,22.77,8.98,15.69
DI YOGYAKARTA,41.46,11.95,33.19
JAWA TIMUR,26.63,8.94,17.94
BANTEN,28.06,4.28,21.1
BALI,34.11,14.13,27.11
NUSA TENGGARA BARAT,18.79,7.27,12.36
NUSA TENGGARA TIMUR,34.19,6.66,12.68
KALIMANTAN BARAT,32.57,8.6,16.04
KALIMANTAN TENGAH,37.86,12.31,21.39
KALIMANTAN SELATAN,32.62,11.8,20.91
KALIMANTAN TIMUR,40.59,17.84,32.89
KALIMANTAN UTARA,35.43,20.35,29.27
SULAWESI UTARA,30.52,12.5,21.09
SULAWESI TENGAH,39.63,11.13,18.48
SULAWESI SELATAN,40.49,13.51,23.92
SULAWESI TENGGARA,36.81,12.07,20.06
GORONTALO,26.52,10.32,16.36
SULAWESI BARAT,33.42,13.31,17.26
MALUKU,31.62,9.02,18.65
MALUKU UTARA,38.03,11.68,19.19
PAPUA BARAT,33.42,16.02,22.7
PAPUA BARAT DAYA,-,-,-
PAPUA,33.52,5.6,12.87
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,27.88,9.18,19.11
