38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2021,2021,2021
ACEH,29.75,8.61,15.62
SUMATERA UTARA,21.27,8.96,15.74
SUMATERA BARAT,33.01,12.23,22.43
RIAU,30.79,12.36,19.74
JAMBI,31.32,11.56,17.86
SUMATERA SELATAN,26.93,7.4,14.42
BENGKULU,35.23,10.31,18.47
LAMPUNG,22.48,6.53,11.39
KEP. BANGKA BELITUNG,24.77,11.25,18.91
KEP. RIAU,32.65,11.82,31.08
DKI JAKARTA,36.29,-,36.29
JAWA BARAT,21.73,5.83,17.98
JAWA TENGAH,20.74,8.87,14.95
DI YOGYAKARTA,39.7,13.15,33.31
JAWA TIMUR,22.97,8.55,16.38
BANTEN,24.4,3.61,18.54
BALI,29.78,13.22,25
NUSA TENGGARA BARAT,16.3,7.38,11.75
NUSA TENGGARA TIMUR,32.49,7.81,14.22
KALIMANTAN BARAT,28.94,8.7,15.85
KALIMANTAN TENGAH,30.9,10.68,18.95
KALIMANTAN SELATAN,29.3,10.37,19.41
KALIMANTAN TIMUR,36.44,18.26,30.74
KALIMANTAN UTARA,30.56,14.17,24.32
SULAWESI UTARA,25.94,12.91,19.93
SULAWESI TENGAH,30.67,10.11,16.53
SULAWESI SELATAN,30.88,13.64,21.22
SULAWESI TENGGARA,30.84,12.59,19.12
GORONTALO,28.28,8.99,17.36
SULAWESI BARAT,24.88,11.84,14.42
MALUKU,34.86,8.65,20.87
MALUKU UTARA,34.28,9.36,16.94
PAPUA BARAT,33.58,12.87,21.58
PAPUA BARAT DAYA,-,-,-
PAPUA,28.17,2.52,9.61
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,25.4,8.82,18.24
