38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2017,2017,2017
ACEH,64.57,36.45,44.83
SUMATERA UTARA,64.93,38.95,52.15
SUMATERA BARAT,71.33,43.25,54.91
RIAU,75.29,47.48,58.41
JAMBI,69.07,43.86,51.49
SUMATERA SELATAN,71.57,38.05,49.73
BENGKULU,77.27,36.64,49.76
LAMPUNG,65.93,38.03,45.25
KEP. BANGKA BELITUNG,67.02,41.3,54.76
KEP. RIAU,78.1,45.67,73.33
DKI JAKARTA,85.7,-,85.7
JAWA BARAT,69.76,43.56,62.04
JAWA TENGAH,66.17,49.23,57.48
DI YOGYAKARTA,78.81,53.46,71.71
JAWA TIMUR,67.03,45.33,56.36
BANTEN,74.81,38.27,64.11
BALI,76.18,50.27,67.1
NUSA TENGGARA BARAT,52.23,35.61,42.95
NUSA TENGGARA TIMUR,73.05,25.87,36.18
KALIMANTAN BARAT,76.49,32.01,45.81
KALIMANTAN TENGAH,74.08,41.25,52.92
KALIMANTAN SELATAN,72.18,42.81,55.66
KALIMANTAN TIMUR,77.14,53.25,69.06
KALIMANTAN UTARA,74.89,52.33,65.68
SULAWESI UTARA,75.34,49.45,61.78
SULAWESI TENGAH,78.76,37,47.77
SULAWESI SELATAN,75.54,43.65,55.95
SULAWESI TENGGARA,68.3,42.52,50.85
GORONTALO,73.01,43.53,54.52
SULAWESI BARAT,62.91,36.04,41.31
MALUKU,71.65,30.13,47.81
MALUKU UTARA,72.15,26.11,39.23
PAPUA BARAT,69.7,36.39,49.18
PAPUA BARAT DAYA,-,-,-
PAPUA,68.22,12.94,27.33
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,70.89,41.99,57.33
